strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
CLOSEST-,0,0.5,256,2,0.019550373818782146,10,True,True
CLOSEST-,1,0.6839519650655022,256,1,0.0010405545606523962,30,True,False
CLOSEST-,2,0.6041486603284356,128,2,0.03860802129326132,30,False,False
CLOSEST-,3,0.6041486603284356,128,1,0.0866336606348169,10,False,False
CLOSEST-,4,0.6041486603284356,256,1,0.017179265611646087,10,False,True
CLOSEST-,5,0.6041486603284356,256,1,0.06429978597246903,20,False,False
CLOSEST-,6,0.6041486603284356,128,1,0.027813272493219198,20,False,False
CLOSEST-,7,0.6041486603284356,128,2,0.008702691664834753,10,False,False
CLOSEST-,8,0.6041486603284356,256,2,0.03867849935375128,20,False,False
CLOSEST-,9,0.6041486603284356,128,1,0.016643168180042384,30,False,True
CLOSEST-,10,0.6041486603284356,128,1,0.02989083085865481,10,False,True
CLOSEST-,11,0.7052401746724891,256,1,0.0010859620928180878,30,True,True
CLOSEST-,12,0.5283842794759825,256,2,0.0010573422503357378,30,True,False
CLOSEST-,13,0.5,128,2,0.003371001058962301,30,True,False
CLOSEST-,14,0.7096069868995634,256,1,0.0010483773538661556,30,True,True
CLOSEST-,15,0.6959606986899564,256,1,0.0010536903138922008,30,True,True
CLOSEST-,16,0.6915938864628821,256,1,0.0024906711682205285,30,True,True
CLOSEST-,17,0.7134279475982532,256,1,0.0024069279702554187,30,True,True
CLOSEST-,18,0.6975982532751092,256,1,0.0024061040421648125,30,True,True
CLOSEST-,19,0.6610262008733624,256,1,0.002967511026325341,30,True,True
CLOSEST-,20,0.6604803493449781,256,1,0.00579279516724072,30,True,True
CLOSEST-,21,0.652292576419214,256,1,0.006057966392070923,20,True,True
CLOSEST-,22,0.7106986899563319,256,1,0.0016588301301622482,30,True,True
CLOSEST-,23,0.7041484716157205,256,1,0.001530455332369988,30,True,True
CLOSEST-,24,0.6653930131004366,256,1,0.001703556204533949,30,True,True
CLOSEST-,25,0.6812227074235808,256,1,0.001805553590518707,30,True,True
CLOSEST-,26,0.6550218340611353,256,1,0.0045964764656387215,30,True,True
CLOSEST-,27,0.6828602620087336,256,1,0.004178393144257043,30,True,True
CLOSEST-,28,0.6697598253275109,256,1,0.003944735954738139,30,True,True
CLOSEST-,29,0.6533842794759825,256,1,0.001731316915717903,20,True,True
CLOSEST-,30,0.517467248908297,256,2,0.001437365588180757,30,True,True
CLOSEST-,31,0.5,256,2,0.00872903375972801,10,True,True
CLOSEST-,32,0.6779475982532751,256,1,0.0021347613934835866,30,True,True
CLOSEST-,33,0.6894104803493449,256,1,0.0013287811536983937,30,True,True
CLOSEST-,34,0.7085152838427947,256,1,0.0012700780508166948,30,True,True
CLOSEST-,35,0.7014192139737991,256,1,0.001205413320982244,30,True,True
