,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,macro_support,weighted_precision,weighted_recall,weighted_f1_score,weighted_support,config
0,GCN,0.6954545454545454,0.7512274959083469,0.7222659323367427,611.0,0.7295373665480427,0.6710310965630114,0.6990622335890878,611.0,0.7111292962356792,0.712495956001294,0.7111292962356792,0.7106640829629153,1222.0,0.7124959560012941,0.7111292962356791,0.7106640829629153,1222.0,"{'RANDOM_SEED': 3, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 128, 'GNN_HIDDEN_LAYERS': 3, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 5e-05, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 128, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
1,GCN,0.6954545454545454,0.7512274959083469,0.7222659323367427,611.0,0.7295373665480427,0.6710310965630114,0.6990622335890878,611.0,0.7111292962356792,0.712495956001294,0.7111292962356792,0.7106640829629153,1222.0,0.7124959560012941,0.7111292962356791,0.7106640829629153,1222.0,"{'RANDOM_SEED': 3, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 128, 'GNN_HIDDEN_LAYERS': 3, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 5e-05, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 128, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
2,RF,0.7177177177177178,0.7823240589198036,0.7486296006264683,611.0,0.7607913669064749,0.6923076923076923,0.7249357326478149,611.0,0.737315875613748,0.7392545423120963,0.7373158756137479,0.7367826666371415,1222.0,0.7392545423120963,0.737315875613748,0.7367826666371416,1222.0,"{'RANDOM_SEED': 3, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 128, 'GNN_HIDDEN_LAYERS': 3, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 5e-05, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 128, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
3,MLP,0.6869851729818781,0.6824877250409165,0.6847290640394089,611.0,0.6845528455284553,0.6890343698854338,0.6867862969004894,611.0,0.6857610474631751,0.6857690092551667,0.6857610474631751,0.6857576804699492,1222.0,0.6857690092551667,0.6857610474631751,0.6857576804699492,1222.0,"{'RANDOM_SEED': 3, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 128, 'GNN_HIDDEN_LAYERS': 3, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 5e-05, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 128, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
