,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,macro_support,weighted_precision,weighted_recall,weighted_f1_score,weighted_support,config
0,GCN,0.5143721633888049,0.5564648117839607,0.5345911949685535,611.0,0.5169340463458111,0.4746317512274959,0.4948805460750853,611.0,0.5155482815057283,0.515653104867308,0.5155482815057283,0.5147358705218193,1222.0,0.515653104867308,0.5155482815057283,0.5147358705218193,1222.0,"{'RANDOM_SEED': 22, 'GNN_EPOCHS': 100, 'GNN_HIDDEN_CHANNELS': 32, 'GNN_HIDDEN_LAYERS': 1, 'GNN_LEARNING_RATE': 1e-05, 'GNN_DROPOUT': 0.5, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
1,GCN,0.5143721633888049,0.5564648117839607,0.5345911949685535,611.0,0.5169340463458111,0.4746317512274959,0.4948805460750853,611.0,0.5155482815057283,0.515653104867308,0.5155482815057283,0.5147358705218193,1222.0,0.515653104867308,0.5155482815057283,0.5147358705218193,1222.0,"{'RANDOM_SEED': 22, 'GNN_EPOCHS': 100, 'GNN_HIDDEN_CHANNELS': 32, 'GNN_HIDDEN_LAYERS': 1, 'GNN_LEARNING_RATE': 1e-05, 'GNN_DROPOUT': 0.5, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
2,RF,0.716012084592145,0.7757774140752864,0.7446975648075412,611.0,0.7553571428571428,0.6923076923076923,0.7224594363791631,611.0,0.7340425531914894,0.735684613724644,0.7340425531914894,0.7335785005933522,1222.0,0.735684613724644,0.7340425531914894,0.7335785005933522,1222.0,"{'RANDOM_SEED': 22, 'GNN_EPOCHS': 100, 'GNN_HIDDEN_CHANNELS': 32, 'GNN_HIDDEN_LAYERS': 1, 'GNN_LEARNING_RATE': 1e-05, 'GNN_DROPOUT': 0.5, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
3,MLP,0.714968152866242,0.734860883797054,0.7247780468119451,611.0,0.7272727272727273,0.707037643207856,0.7170124481327801,611.0,0.720949263502455,0.7211204400694846,0.720949263502455,0.7208952474723627,1222.0,0.7211204400694846,0.720949263502455,0.7208952474723626,1222.0,"{'RANDOM_SEED': 22, 'GNN_EPOCHS': 100, 'GNN_HIDDEN_CHANNELS': 32, 'GNN_HIDDEN_LAYERS': 1, 'GNN_LEARNING_RATE': 1e-05, 'GNN_DROPOUT': 0.5, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
