strategy,trial,accuracy,down_sample,qb_link
QB-CLOSEST-,19,0.7183406113537117,True,True
QB-CLOSEST-,20,0.7472707423580786,True,True
QB-CLOSEST-,21,0.7336244541484717,True,True
QB-CLOSEST-,22,0.7418122270742358,True,True
QB-CLOSEST-,23,0.7167030567685589,True,True
QB-CLOSEST-,24,0.7194323144104804,True,True
QB-CLOSEST-,25,0.7398444252376837,False,True
QB-CLOSEST-,26,0.7320656871218669,False,True
QB-CLOSEST-,27,0.7458945548833189,False,True
QB-CLOSEST-,28,0.7411408815903198,False,True
QB-CLOSEST-,29,0.7242869490060502,False,True
QB-CLOSEST-,30,0.7251512532411409,False,True
QB-CLOSEST-,31,0.726447709593777,False,True
QB-CLOSEST-,32,0.7519446845289542,False,True
QB-CLOSEST-,33,0.7376836646499568,False,False
QB-CLOSEST-,34,0.7292576419213974,True,False
QB-CLOSEST-,35,0.7281659388646288,True,True
QB-CLOSEST-,36,0.749351771823682,False,True
QB-CLOSEST-,37,0.7389801210025929,False,True
QB-CLOSEST-,38,0.7484874675885912,False,True
QB-CLOSEST-,39,0.7286084701815039,False,True
QB-CLOSEST-,40,0.7337942955920485,False,True
QB-CLOSEST-,41,0.756266205704408,False,True
QB-CLOSEST-,42,0.7407087294727744,False,True
QB-CLOSEST-,43,0.7292576419213974,True,True
QB-CLOSEST-,44,0.756004366812227,True,False
QB-CLOSEST-,45,0.7450302506482281,False,True
QB-CLOSEST-,46,0.7368193604148661,False,True
QB-CLOSEST-,47,0.7385479688850476,False,True
QB-CLOSEST-,48,0.7161572052401747,True,False
QB-CLOSEST-,49,0.7347161572052402,True,False
QB-CLOSEST-,50,0.740174672489083,True,False
QB-CLOSEST-,51,0.7505458515283843,True,False
QB-CLOSEST-,52,0.7352620087336245,True,False
QB-CLOSEST-,53,0.7472707423580786,True,False
QB-CLOSEST-,54,0.7194323144104804,True,False
QB-CLOSEST-,55,0.7429039301310044,True,False
QB-CLOSEST-,56,0.7292576419213974,True,False
QB-CLOSEST-,57,0.7150655021834061,True,False
QB-CLOSEST-,58,0.7287117903930131,True,True
QB-CLOSEST-,59,0.75,True,True
QB-CLOSEST-,60,0.7216157205240175,True,True
QB-CLOSEST-,61,0.750648228176318,False,True
QB-CLOSEST-,62,0.7329299913569577,False,True
QB-CLOSEST-,63,0.7312013828867762,False,True
QB-CLOSEST-,64,0.7497839239412273,False,True
QB-CLOSEST-,65,0.74235807860262,True,True
QB-CLOSEST-,66,0.7620087336244541,True,True
QB-CLOSEST-,67,0.733362143474503,False,True
QB-CLOSEST-,68,0.7320656871218669,False,True
QB-CLOSEST-,69,0.7203975799481418,False,True
QB-CLOSEST-,70,0.7337942955920485,False,True
QB-CLOSEST-,71,0.7287117903930131,True,True
QB-CLOSEST-,72,0.7478165938864629,True,True
QB-CLOSEST-,73,0.7183406113537117,True,True
QB-CLOSEST-,74,0.7172489082969432,True,True
QB-CLOSEST-,75,0.7359550561797753,False,True
QB-CLOSEST-,76,0.7412663755458515,True,True
QB-CLOSEST-,77,0.7359550561797753,False,True
QB-CLOSEST-,78,0.7458945548833189,False,True
QB-CLOSEST-,79,0.7359550561797753,False,True
QB-CLOSEST-,80,0.7208297320656871,False,True
QB-CLOSEST-,81,0.7329299913569577,False,True
QB-CLOSEST-,82,0.733362143474503,False,True
QB-CLOSEST-,83,0.7376836646499568,False,True
QB-CLOSEST-,84,0.7178046672428695,False,True
QB-CLOSEST-,85,0.7379912663755459,True,True
QB-CLOSEST-,86,0.7276200873362445,True,True
QB-CLOSEST-,87,0.7188864628820961,True,True
QB-CLOSEST-,88,0.7254366812227074,True,True
QB-CLOSEST-,89,0.7216157205240175,True,True
QB-CLOSEST-,90,0.7412663755458515,True,True
QB-CLOSEST-,91,0.7221615720524017,True,True
QB-CLOSEST-,92,0.7319868995633187,True,True
QB-CLOSEST-,93,0.7270742358078602,True,False
QB-CLOSEST-,94,0.7347161572052402,True,False
QB-CLOSEST-,95,0.7314410480349345,True,False
QB-CLOSEST-,96,0.7565502183406113,True,False
QB-CLOSEST-,97,0.7117903930131004,True,False
QB-CLOSEST-,98,0.7287117903930131,True,False
QB-CLOSEST-,99,0.7516375545851528,True,False
DELAUNAY,0,0.7516375545851528,True,False
DELAUNAY,1,0.7502160760587727,False,True
DELAUNAY,2,0.7429039301310044,True,True
DELAUNAY,3,0.7221615720524017,True,True
DELAUNAY,4,0.7173725151253241,False,True
DELAUNAY,5,0.7150655021834061,True,True
DELAUNAY,6,0.7472707423580786,True,False
DELAUNAY,7,0.7312013828867762,False,True
DELAUNAY,8,0.743733794295592,False,False
DELAUNAY,9,0.7287117903930131,True,True
DELAUNAY,10,0.726528384279476,True,True
DELAUNAY,11,0.7554019014693172,False,True
DELAUNAY,12,0.7434497816593887,True,False
