,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,macro_support,weighted_precision,weighted_recall,weighted_f1_score,weighted_support,config
0,GCN,0.7865748709122203,0.7479541734860884,0.7667785234899329,611.0,0.7597503900156006,0.7970540098199672,0.7779552715654952,611.0,0.7725040916530278,0.7731626304639105,0.7725040916530278,0.772366897527714,1222.0,0.7731626304639105,0.7725040916530278,0.772366897527714,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
1,GCN,0.7865748709122203,0.7479541734860884,0.7667785234899329,611.0,0.7597503900156006,0.7970540098199672,0.7779552715654952,611.0,0.7725040916530278,0.7731626304639105,0.7725040916530278,0.772366897527714,1222.0,0.7731626304639105,0.7725040916530278,0.772366897527714,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
2,RF,0.7138643067846607,0.7921440261865794,0.7509697439875873,611.0,0.7665441176470589,0.6824877250409165,0.7220779220779221,611.0,0.737315875613748,0.7402042122158599,0.7373158756137479,0.7365238330327547,1222.0,0.7402042122158597,0.737315875613748,0.7365238330327547,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
3,MLP,0.6831683168316832,0.6775777414075287,0.6803615447822514,611.0,0.6801948051948052,0.6857610474631751,0.6829665851670742,611.0,0.6816693944353519,0.6816815610132443,0.6816693944353519,0.6816640649746628,1222.0,0.6816815610132443,0.6816693944353519,0.6816640649746629,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 100, 'MLP_HIDDEN_CHANNELS': 32, 'MLP_HIDDEN_LAYERS': 3, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.001, 'MLP_ALPHA': 0.0005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
