GCN,RF,MLP
0.78,0.74,0.70
0.66,0.75,0.67
0.66,0.74,0.69
0.78,0.75,0.67
0.59,0.75,0.73
0.75,0.74,0.70
0.77,0.75,0.69
0.66,0.75,0.74
0.80,0.75,0.75
0.74,0.75,0.73
0.77,0.75,0.68
0.77,0.75,0.65
0.70,0.75,0.69
0.70,0.75,0.70
0.71,0.75,0.68
0.62,0.74,0.75
0.78,0.75,0.73
0.71,0.74,0.68
0.73,0.74,0.66
0.79,0.75,0.68
0.70,0.75,0.75
0.74,0.75,0.69
0.59,0.75,0.71
0.45,0.75,0.70
0.79,0.75,0.69
