strategy,trial,accuracy,hidden_channels,hidden_layers,warmup_epochs
QB-CLOSEST-,7,0.6041486603284356,32,2,18
QB-CLOSEST-,8,0.6041486603284356,32,3,18
QB-CLOSEST-,9,0.6071737251512532,32,1,25
QB-CLOSEST-,10,0.6408815903197925,64,1,20
QB-CLOSEST-,11,0.6041486603284356,32,4,23
QB-CLOSEST-,12,0.6041486603284356,32,3,8
QB-CLOSEST-,13,0.6067415730337079,256,2,9
QB-CLOSEST-,14,0.6041486603284356,256,4,6
QB-CLOSEST-,15,0.6547104580812446,128,1,13
QB-CLOSEST-,16,0.6378565254969749,128,1,30
QB-CLOSEST-,17,0.6404494382022472,128,1,14
QB-CLOSEST-,18,0.6486603284356093,128,1,13
QB-CLOSEST-,19,0.6326707000864304,64,1,13
QB-CLOSEST-,20,0.6041486603284356,128,2,13
QB-CLOSEST-,21,0.6041486603284356,128,2,14
QB-CLOSEST-,22,0.6287813310285221,128,1,11
QB-CLOSEST-,23,0.6361279170267934,128,1,10
QB-CLOSEST-,24,0.6041486603284356,128,3,16
QB-CLOSEST-,25,0.6041486603284356,128,3,5
QB-CLOSEST-,26,0.6235955056179775,64,1,21
QB-CLOSEST-,27,0.6352636127917026,64,1,21
QB-CLOSEST-,28,0.5963699222126189,64,1,16
QB-CLOSEST-,29,0.6045808124459809,64,2,15
QB-CLOSEST-,30,0.6041486603284356,128,2,12
QB-CLOSEST-,31,0.6378565254969749,128,1,12
QB-CLOSEST-,32,0.6538461538461539,128,1,20
QB-CLOSEST-,33,0.6486603284356093,256,1,21
QB-CLOSEST-,34,0.6032843560933449,256,2,7
QB-CLOSEST-,35,0.6041486603284356,128,2,7
QB-CLOSEST-,36,0.6707000864304236,256,1,23
QB-CLOSEST-,37,0.6961970613656007,256,1,23
QB-CLOSEST-,38,0.6594641313742438,256,1,24
QB-CLOSEST-,39,0.6719965427830596,256,1,25
QB-CLOSEST-,40,0.6944684528954191,256,1,26
QB-CLOSEST-,41,0.6832324978392394,256,1,26
QB-CLOSEST-,42,0.6037165082108902,256,2,27
QB-CLOSEST-,43,0.6028522039757995,256,2,27
QB-CLOSEST-,44,0.6707000864304236,256,1,27
QB-CLOSEST-,45,0.6339671564390665,256,1,29
QB-CLOSEST-,46,0.6944684528954191,256,1,23
QB-CLOSEST-,47,0.6460674157303371,256,1,25
QB-CLOSEST-,48,0.6728608470181504,256,1,25
QB-CLOSEST-,49,0.651685393258427,256,1,25
QB-CLOSEST-,50,0.6923076923076923,256,1,28
QB-CLOSEST-,51,0.672428694900605,256,1,23
QB-CLOSEST-,52,0.6076058772687987,32,1,28
QB-CLOSEST-,53,0.6041486603284356,32,4,28
QB-CLOSEST-,54,0.6041486603284356,256,3,30
QB-CLOSEST-,55,0.6041486603284356,256,3,26
QB-CLOSEST-,56,0.68971477960242,256,1,26
QB-CLOSEST-,57,0.693171996542783,256,1,24
QB-CLOSEST-,58,0.6737251512532412,256,1,22
QB-CLOSEST-,59,0.6439066551426103,256,1,22
