,n,mean_frobenius_norm,std_frobenius_norm
0,1,6.467671506330913,0.18076103995491566
1,2,8.912834862759084,0.2528536609942755
2,3,10.624349518963596,0.30660694645817954
3,4,11.92109788861956,0.34641096877401323
4,5,12.930479277156332,0.38270491035474336
5,6,13.712062032081176,0.41965308070312934
6,7,14.305403388492644,0.46033563883421835
7,8,14.732324843839825,0.5061800405704071
8,9,15.006562876766361,0.5595797635239466
9,10,15.138015468184554,0.6161433721705514
10,11,15.131276020089063,0.6675830825794794
11,12,14.98808601628093,0.7105641744321273
12,13,14.705261972395483,0.7446649427927127
13,14,14.274616244412703,0.7630171969620182
14,15,13.681068727665808,0.7631679702898682
15,16,12.902824623942957,0.7399658157673853
16,17,11.901097397716573,0.6873487193328955
17,18,10.609366709321822,0.6126900155694203
18,19,8.901045302608729,0.5090484555602243
19,20,6.463429945388457,0.2952841481823126
20,21,0.0,0.0
