,n,mean,std
0,1,6.470339827015696,0.17492413014273464
1,2,4.459212843052611,0.12135280249422409
2,3,3.543768322054481,0.0970709841691107
3,4,2.9824364007278334,0.08176823385086099
4,5,2.587815891020869,0.07214857977723386
5,6,2.2870894895843663,0.065856473890578
6,7,2.0452932288457917,0.06189998896039734
7,8,1.843193772932169,0.059873803087718044
8,9,1.6690703732811276,0.059234342598300856
9,10,1.5153936230834064,0.058910345066863545
10,11,1.3770833740183765,0.05816930093968506
11,12,1.2503791645281095,0.056916469377572325
12,13,1.132287473517505,0.055168178570120165
13,14,1.020451604001309,0.05257502508779196
14,15,0.9126671588224574,0.049138975820657974
15,16,0.806713074641047,0.04474488253077724
16,17,0.7001542019702726,0.039265620314682996
17,18,0.58938089666758,0.033244185470702674
18,19,0.46842040509601846,0.026282497241538787
19,20,0.32316572069864197,0.01455510365784138
20,21,0.0,0.0
