,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,macro_support,weighted_precision,weighted_recall,weighted_f1_score,weighted_support,config
0,GCN,0.7576243980738363,0.7725040916530278,0.7649918962722853,611.0,0.7679465776293823,0.7528641571194763,0.7603305785123967,611.0,0.762684124386252,0.7627854878516094,0.7626841243862521,0.7626612373923409,1222.0,0.7627854878516093,0.762684124386252,0.762661237392341,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.0001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 0.005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
1,GCN,0.7576243980738363,0.7725040916530278,0.7649918962722853,611.0,0.7679465776293823,0.7528641571194763,0.7603305785123967,611.0,0.762684124386252,0.7627854878516094,0.7626841243862521,0.7626612373923409,1222.0,0.7627854878516093,0.762684124386252,0.762661237392341,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.0001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 0.005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
2,RF,0.7132132132132132,0.7774140752864157,0.7439310884886453,611.0,0.7553956834532374,0.6873977086743044,0.7197943444730077,611.0,0.7324058919803601,0.7343044483332253,0.73240589198036,0.7318627164808265,1222.0,0.7343044483332254,0.7324058919803601,0.7318627164808265,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.0001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 0.005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
3,MLP,0.6873015873015873,0.7086743044189853,0.6978243352135375,611.0,0.6993243243243243,0.6775777414075287,0.6882793017456359,611.0,0.693126022913257,0.6933129558129558,0.693126022913257,0.6930518184795866,1222.0,0.6933129558129559,0.693126022913257,0.6930518184795866,1222.0,"{'RANDOM_SEED': 4, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.0001, 'GNN_DROPOUT': 0.4, 'GNN_WEIGHT_DECAY': 0.005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.01, 'MLP_ALPHA': 0.005, 'VALIDATION_SPLIT': 0.8, 'TEST_SPLIT': 0.9, 'SHOW_INFO': True}"
