,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,macro_support,weighted_precision,weighted_recall,weighted_f1_score,weighted_support,config
0,GCN,0.7253588516746412,0.8275109170305677,0.7730749617542071,916.0,0.7992376111817027,0.6866812227074236,0.738696418085731,916.0,0.7570960698689956,0.7622982314281719,0.7570960698689957,0.7558856899199691,1832.0,0.762298231428172,0.7570960698689956,0.755885689919969,1832.0,"{'RANDOM_SEED': 11, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.7, 'TEST_SPLIT': 0.85, 'SHOW_INFO': True}"
1,GCN,0.7253588516746412,0.8275109170305677,0.7730749617542071,916.0,0.7992376111817027,0.6866812227074236,0.738696418085731,916.0,0.7570960698689956,0.7622982314281719,0.7570960698689957,0.7558856899199691,1832.0,0.762298231428172,0.7570960698689956,0.755885689919969,1832.0,"{'RANDOM_SEED': 11, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.7, 'TEST_SPLIT': 0.85, 'SHOW_INFO': True}"
2,RF,0.7141424272818455,0.777292576419214,0.7443805541035023,916.0,0.755688622754491,0.6888646288209607,0.7207310108509423,916.0,0.7330786026200873,0.7349155250181683,0.7330786026200873,0.7325557824772223,1832.0,0.7349155250181683,0.7330786026200873,0.7325557824772224,1832.0,"{'RANDOM_SEED': 11, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.7, 'TEST_SPLIT': 0.85, 'SHOW_INFO': True}"
3,MLP,0.6602150537634408,0.6703056768558951,0.6652221018418202,916.0,0.6651884700665188,0.6550218340611353,0.6600660066006601,916.0,0.6626637554585153,0.6627017619149798,0.6626637554585153,0.6626440542212402,1832.0,0.6627017619149799,0.6626637554585153,0.6626440542212402,1832.0,"{'RANDOM_SEED': 11, 'GNN_EPOCHS': 500, 'GNN_HIDDEN_CHANNELS': 64, 'GNN_HIDDEN_LAYERS': 2, 'GNN_LEARNING_RATE': 0.001, 'GNN_DROPOUT': 0.2, 'GNN_WEIGHT_DECAY': 0.0005, 'RF_ESTIMATORS': 150, 'MLP_HIDDEN_CHANNELS': 64, 'MLP_HIDDEN_LAYERS': 2, 'MLP_MAX_ITER': 3000, 'MLP_LEARNING_RATE': 0.0001, 'MLP_ALPHA': 5e-05, 'VALIDATION_SPLIT': 0.7, 'TEST_SPLIT': 0.85, 'SHOW_INFO': True}"
